fc′,as,ec,fpe,Pu,Mu,Vu,carbon
28.0,99.0,0.6,706.8,110.02006670607572,10.903130542637035,4.161493937871905,3.6061301597499447
28.0,99.0,0.6,744.0,108.10501070607572,11.109730276399826,4.1614293047319055,3.6061301597499447
28.0,99.0,0.6,781.2,106.18995470607571,11.316330010162615,4.161364671591905,3.6061301597499447
28.0,99.0,0.6,818.4,104.27489870607572,11.522929743925404,4.161300038451905,3.6061301597499447
28.0,99.0,0.6,855.6,102.35984270607572,11.729529477688194,4.1612354053119045,3.6061301597499447
28.0,99.0,0.6,892.8,100.44478670607573,11.936129211450984,4.161170772171905,3.6061301597499447
28.0,99.0,0.6,930.0,98.52973070607571,11.996113573323248,4.161106139031905,3.6061301597499447
28.0,99.0,0.7,0.0,146.40613070607571,10.107836436781625,4.162721967531906,3.6061301597499447
28.0,99.0,0.7,37.2,144.4910747060757,10.107836436781625,4.162657334391904,3.6061301597499447
28.0,99.0,0.7,74.4,142.5760187060757,10.107836436781625,4.1625927012519055,3.6061301597499447
28.0,99.0,0.7,111.6,140.6609627060757,10.107836436781625,4.1625280681119055,3.6061301597499447
28.0,99.0,0.7,148.8,138.74590670607571,10.107836436781625,4.1624634349719045,3.6061301597499447
28.0,99.0,0.7,186.0,136.83085070607572,10.107836436781625,4.1623988018319045,3.6061301597499447
28.0,99.0,0.7,223.2,134.91579470607573,10.107836436781625,4.162334168691904,3.6061301597499447
28.0,99.0,0.7,260.4,133.0007387060757,10.107836436781625,4.162269535551905,3.6061301597499447
28.0,99.0,0.7,297.6,131.08568270607572,10.107836436781625,4.162204902411905,3.6061301597499447
28.0,99.0,0.7,334.8,129.1706267060757,10.309988739177333,4.162140269271905,3.6061301597499447
28.0,99.0,0.7,372.0,127.25557070607572,10.55102176190059,4.162075636131905,3.6061301597499447
28.0,99.0,0.7,409.2,125.34051470607572,10.792054784623842,4.162011002991905,3.6061301597499447
28.0,99.0,0.7,446.4,123.42545870607572,11.033087807347098,4.161946369851906,3.6061301597499447
28.0,99.0,0.7,483.6,121.51040270607572,11.27412083007035,4.161881736711904,3.6061301597499447
28.0,99.0,0.7,520.8,119.59534670607572,11.515153852793604,4.161817103571905,3.6061301597499447
28.0,99.0,0.7,558.0,117.68029070607571,11.756186875516859,4.161752470431905,3.6061301597499447
28.0,99.0,0.7,595.2,115.7652347060757,11.997219898240115,4.161687837291905,3.6061301597499447
28.0,99.0,0.7,632.4,113.85017870607571,12.238252920963369,4.161623204151905,3.6061301597499447
28.0,99.0,0.7,669.6,111.93512270607572,12.479285943686621,4.161558571011905,3.6061301597499447
28.0,99.0,0.7,706.8,110.02006670607572,12.720318966409875,4.161493937871905,3.6061301597499447
28.0,99.0,0.7,744.0,108.10501070607572,12.96135198913313,4.1614293047319055,3.6061301597499447
28.0,99.0,0.7,781.2,106.18995470607571,13.202385011856384,4.161364671591905,3.6061301597499447
28.0,99.0,0.7,818.4,104.27489870607572,13.443418034579638,4.161300038451905,3.6061301597499447
28.0,99.0,0.7,855.6,102.35984270607572,13.684451057302892,4.1612354053119045,3.6061301597499447
28.0,99.0,0.7,892.8,100.44478670607573,13.925484080026147,4.161170772171905,3.6061301597499447
28.0,99.0,0.7,930.0,98.52973070607571,13.995465835543788,4.161106139031905,3.6061301597499447
28.0,99.0,0.8,0.0,146.40613070607571,11.55181307060757,4.162721967531906,3.6061301597499447
28.0,99.0,0.8,37.2,144.4910747060757,11.55181307060757,4.162657334391904,3.6061301597499447
28.0,99.0,0.8,74.4,142.5760187060757,11.55181307060757,4.1625927012519055,3.6061301597499447
28.0,99.0,0.8,111.6,140.6609627060757,11.55181307060757,4.1625280681119055,3.6061301597499447
28.0,99.0,0.8,148.8,138.74590670607571,11.55181307060757,4.1624634349719045,3.6061301597499447
28.0,99.0,0.8,186.0,136.83085070607572,11.55181307060757,4.1623988018319045,3.6061301597499447
28.0,99.0,0.8,223.2,134.91579470607573,11.55181307060757,4.162334168691904,3.6061301597499447
28.0,99.0,0.8,260.4,133.0007387060757,11.55181307060757,4.162269535551905,3.6061301597499447
28.0,99.0,0.8,297.6,131.08568270607572,11.55181307060757,4.162204902411905,3.6061301597499447
28.0,99.0,0.8,334.8,129.1706267060757,11.782844273345523,4.162140269271905,3.6061301597499447
28.0,99.0,0.8,372.0,127.25557070607572,12.058310585029243,4.162075636131905,3.6061301597499447
28.0,99.0,0.8,409.2,125.34051470607572,12.333776896712962,4.162011002991905,3.6061301597499447
28.0,99.0,0.8,446.4,123.42545870607572,12.609243208396682,4.161946369851906,3.6061301597499447
28.0,99.0,0.8,483.6,121.51040270607572,12.884709520080401,4.161881736711904,3.6061301597499447
28.0,99.0,0.8,520.8,119.59534670607572,13.16017583176412,4.161817103571905,3.6061301597499447
28.0,99.0,0.8,558.0,117.68029070607571,13.43564214344784,4.161752470431905,3.6061301597499447
28.0,99.0,0.8,595.2,115.7652347060757,13.711108455131559,4.161687837291905,3.6061301597499447
28.0,99.0,0.8,632.4,113.85017870607571,13.986574766815277,4.161623204151905,3.6061301597499447
28.0,99.0,0.8,669.6,111.93512270607572,14.262041078498996,4.161558571011905,3.6061301597499447
28.0,99.0,0.8,706.8,110.02006670607572,14.537507390182714,4.161493937871905,3.6061301597499447
28.0,99.0,0.8,744.0,108.10501070607572,14.812973701866435,4.1614293047319055,3.6061301597499447
28.0,99.0,0.8,781.2,106.18995470607571,15.088440013550153,4.161364671591905,3.6061301597499447
28.0,99.0,0.8,818.4,104.27489870607572,15.363906325233874,4.161300038451905,3.6061301597499447
28.0,99.0,0.8,855.6,102.35984270607572,15.63937263691759,4.1612354053119045,3.6061301597499447
28.0,99.0,0.8,892.8,100.44478670607573,15.91483894860131,4.161170772171905,3.6061301597499447
28.0,99.0,0.8,930.0,98.52973070607571,15.994818097764329,4.161106139031905,3.6061301597499447
28.0,99.0,0.9,0.0,146.40613070607571,12.995789704433518,4.162721967531906,3.6061301597499447
28.0,99.0,0.9,37.2,144.4910747060757,12.995789704433518,4.162657334391904,3.6061301597499447
28.0,99.0,0.9,74.4,142.5760187060757,12.995789704433518,4.1625927012519055,3.6061301597499447
28.0,99.0,0.9,111.6,140.6609627060757,12.995789704433518,4.1625280681119055,3.6061301597499447
28.0,99.0,0.9,148.8,138.74590670607571,12.995789704433518,4.1624634349719045,3.6061301597499447
28.0,99.0,0.9,186.0,136.83085070607572,12.995789704433518,4.1623988018319045,3.6061301597499447
28.0,99.0,0.9,223.2,134.91579470607573,12.995789704433518,4.162334168691904,3.6061301597499447
28.0,99.0,0.9,260.4,133.0007387060757,12.995789704433518,4.162269535551905,3.6061301597499447
28.0,99.0,0.9,297.6,131.08568270607572,12.995789704433518,4.162204902411905,3.6061301597499447
28.0,99.0,0.9,334.8,129.1706267060757,13.255699807513714,4.162140269271905,3.6061301597499447
28.0,99.0,0.9,372.0,127.25557070607572,13.5655994081579,4.162075636131905,3.6061301597499447
28.0,99.0,0.9,409.2,125.34051470607572,13.875499008802082,4.162011002991905,3.6061301597499447
28.0,99.0,0.9,446.4,123.42545870607572,14.185398609446267,4.161946369851906,3.6061301597499447
28.0,99.0,0.9,483.6,121.51040270607572,14.49529821009045,4.161881736711904,3.6061301597499447
28.0,99.0,0.9,520.8,119.59534670607572,14.805197810734633,4.161817103571905,3.6061301597499447
28.0,99.0,0.9,558.0,117.68029070607571,15.11509741137882,4.161752470431905,3.6061301597499447
28.0,99.0,0.9,595.2,115.7652347060757,15.424997012023004,4.161687837291905,3.6061301597499447
28.0,99.0,0.9,632.4,113.85017870607571,15.734896612667187,4.161623204151905,3.6061301597499447
28.0,99.0,0.9,669.6,111.93512270607572,16.044796213311372,4.161558571011905,3.6061301597499447
28.0,99.0,0.9,706.8,110.02006670607572,16.354695813955555,4.161493937871905,3.6061301597499447
28.0,99.0,0.9,744.0,108.10501070607572,16.664595414599738,4.1614293047319055,3.6061301597499447
28.0,99.0,0.9,781.2,106.18995470607571,16.97449501524392,4.161364671591905,3.6061301597499447
28.0,99.0,0.9,818.4,104.27489870607572,17.284394615888107,4.161300038451905,3.6061301597499447
28.0,99.0,0.9,855.6,102.35984270607572,17.59429421653229,4.1612354053119045,3.6061301597499447
28.0,99.0,0.9,892.8,100.44478670607573,17.904193817176477,4.161170772171905,3.6061301597499447
28.0,99.0,0.9,930.0,98.52973070607571,17.99417035998487,4.161106139031905,3.6061301597499447
28.0,99.0,1.0,0.0,146.40613070607571,14.439766338259464,4.162721967531906,3.6061301597499447
28.0,99.0,1.0,37.2,144.4910747060757,14.439766338259464,4.162657334391904,3.6061301597499447
28.0,99.0,1.0,74.4,142.5760187060757,14.439766338259464,4.1625927012519055,3.6061301597499447
28.0,99.0,1.0,111.6,140.6609627060757,14.439766338259464,4.1625280681119055,3.6061301597499447
28.0,99.0,1.0,148.8,138.74590670607571,14.439766338259464,4.1624634349719045,3.6061301597499447
28.0,99.0,1.0,186.0,136.83085070607572,14.439766338259464,4.1623988018319045,3.6061301597499447
28.0,99.0,1.0,223.2,134.91579470607573,14.439766338259464,4.162334168691904,3.6061301597499447
28.0,99.0,1.0,260.4,133.0007387060757,14.439766338259464,4.162269535551905,3.6061301597499447
28.0,99.0,1.0,297.6,131.08568270607572,14.439766338259464,4.162204902411905,3.6061301597499447
28.0,99.0,1.0,334.8,129.1706267060757,14.728555341681904,4.162140269271905,3.6061301597499447
28.0,99.0,1.0,372.0,127.25557070607572,15.072888231286555,4.162075636131905,3.6061301597499447
28.0,99.0,1.0,409.2,125.34051470607572,15.417221120891202,4.162011002991905,3.6061301597499447
28.0,99.0,1.0,446.4,123.42545870607572,15.761554010495853,4.161946369851906,3.6061301597499447
28.0,99.0,1.0,483.6,121.51040270607572,16.1058869001005,4.161881736711904,3.6061301597499447
28.0,99.0,1.0,520.8,119.59534670607572,16.450219789705148,4.161817103571905,3.6061301597499447
28.0,99.0,1.0,558.0,117.68029070607571,16.7945526793098,4.161752470431905,3.6061301597499447
