x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,0.8,837.0,-9.354280000000001,-0.6221667716643757,0.14297070342148668,0.7361908065426285
28.0,99.0,0.8,930.0,-14.14192,-0.6568265345118317,0.14280912057148668,0.7361908065426285
28.0,99.0,0.8,1023.0,-18.92956,-0.663531223594522,0.1426475377214867,0.7361908065426285
28.0,99.0,0.8,1116.0,-23.717200000000002,-0.6700791772254902,0.1424859548714867,0.7361908065426285
28.0,99.0,0.8,1209.0,-28.50484,-0.6764751258340902,0.14232437202148668,0.7361908065426285
28.0,99.0,0.8,1302.0,-33.292480000000005,-0.6778555229778376,0.14216278917148667,0.7361908065426285
28.0,99.0,0.9,93.0,28.94684,-0.559230954364027,0.14426336622148667,0.7361908065426285
28.0,99.0,0.9,186.0,24.159200000000002,-0.5691356136585893,0.14410178337148666,0.7361908065426285
28.0,99.0,0.9,279.0,19.371560000000002,-0.5773128926944456,0.1439402005214867,0.7361908065426285
28.0,99.0,0.9,372.0,14.58392,-0.6004196368235274,0.14377861767148667,0.7361908065426285
28.0,99.0,0.9,465.0,9.79628,-0.6422244914782514,0.1436170348214867,0.7361908065426285
28.0,99.0,0.9,558.0,5.00864,-0.684187308864807,0.14345545197148668,0.7361908065426285
28.0,99.0,0.9,651.0,0.221,-0.7264207363971095,0.1432938691214867,0.7361908065426285
28.0,99.0,0.9,744.0,-4.5666400000000005,-0.7690051695490198,0.14313228627148666,0.7361908065426285
28.0,99.0,0.9,837.0,-9.354280000000001,-0.8119844109568841,0.14297070342148668,0.7361908065426285
28.0,99.0,0.9,930.0,-14.14192,-0.8551221845118316,0.14280912057148668,0.7361908065426285
28.0,99.0,0.9,1023.0,-18.92956,-0.861826873594522,0.1426475377214867,0.7361908065426285
28.0,99.0,0.9,1116.0,-23.717200000000002,-0.8683748272254901,0.1424859548714867,0.7361908065426285
28.0,99.0,0.9,1209.0,-28.50484,-0.8747707758340901,0.14232437202148668,0.7361908065426285
28.0,99.0,0.9,1302.0,-33.292480000000005,-0.8761511729778375,0.14216278917148667,0.7361908065426285
28.0,99.0,1.0,93.0,28.94684,-0.7024444793640271,0.14426336622148667,0.7361908065426285
28.0,99.0,1.0,186.0,24.159200000000002,-0.7123491386585895,0.14410178337148666,0.7361908065426285
28.0,99.0,1.0,279.0,19.371560000000002,-0.7205264176944456,0.1439402005214867,0.7361908065426285
28.0,99.0,1.0,372.0,14.58392,-0.7475486292410359,0.14377861767148667,0.7361908065426285
