fc′,as,ec,fpe,Pu,Mu,Vu,carbon,ID
28.0,99.0,0.6,372.0,127.25557070607572,24.116621170058487,4.162075636131905,3.6061301597499447,37
28.0,99.0,0.6,409.2,125.34051470607572,24.667553793425924,4.162011002991905,3.6061301597499447,38
28.0,99.0,0.6,446.4,123.42545870607572,25.218486416793365,4.161946369851906,3.6061301597499447,39
28.0,99.0,0.6,483.6,121.51040270607572,25.769419040160802,4.161881736711904,3.6061301597499447,40
28.0,99.0,0.6,520.8,119.59534670607572,26.32035166352824,4.161817103571905,3.6061301597499447,41
28.0,99.0,0.6,558.0,117.68029070607571,26.87128428689568,4.161752470431905,3.6061301597499447,42
28.0,99.0,0.6,595.2,115.7652347060757,27.422216910263117,4.161687837291905,3.6061301597499447,43
28.0,99.0,0.6,632.4,113.85017870607571,27.973149533630554,4.161623204151905,3.6061301597499447,44
28.0,99.0,0.6,669.6,111.93512270607572,28.52408215699799,4.161558571011905,3.6061301597499447,45
28.0,99.0,0.6,706.8,110.02006670607572,29.07501478036543,4.161493937871905,3.6061301597499447,46
28.0,99.0,0.6,744.0,108.10501070607572,29.62594740373287,4.1614293047319055,3.6061301597499447,47
28.0,99.0,0.6,781.2,106.18995470607571,30.176880027100307,4.161364671591905,3.6061301597499447,48
28.0,99.0,0.6,818.4,104.27489870607572,30.727812650467747,4.161300038451905,3.6061301597499447,49
28.0,99.0,0.6,855.6,102.35984270607572,31.27874527383518,4.1612354053119045,3.6061301597499447,50
28.0,99.0,0.6,892.8,100.44478670607573,31.82967789720262,4.161170772171905,3.6061301597499447,51
28.0,99.0,0.6,930.0,98.52973070607571,31.989636195528657,4.161106139031905,3.6061301597499447,52
28.0,99.0,0.7,0.0,146.40613070607571,24.54760277504109,4.162721967531906,3.6061301597499447,53
28.0,99.0,0.7,37.2,144.4910747060757,24.54760277504109,4.162657334391904,3.6061301597499447,54
28.0,99.0,0.7,74.4,142.5760187060757,24.54760277504109,4.1625927012519055,3.6061301597499447,55
28.0,99.0,0.7,111.6,140.6609627060757,24.54760277504109,4.1625280681119055,3.6061301597499447,56
28.0,99.0,0.7,148.8,138.74590670607571,24.54760277504109,4.1624634349719045,3.6061301597499447,57
28.0,99.0,0.7,186.0,136.83085070607572,24.54760277504109,4.1623988018319045,3.6061301597499447,58
28.0,99.0,0.7,223.2,134.91579470607573,24.54760277504109,4.162334168691904,3.6061301597499447,59
28.0,99.0,0.7,260.4,133.0007387060757,24.54760277504109,4.162269535551905,3.6061301597499447,60
28.0,99.0,0.7,297.6,131.08568270607572,24.54760277504109,4.162204902411905,3.6061301597499447,61
28.0,99.0,0.7,334.8,129.1706267060757,25.03854408085924,4.162140269271905,3.6061301597499447,62
28.0,99.0,0.7,372.0,127.25557070607572,25.623909993187144,4.162075636131905,3.6061301597499447,63
28.0,99.0,0.7,409.2,125.34051470607572,26.209275905515046,4.162011002991905,3.6061301597499447,64
28.0,99.0,0.7,446.4,123.42545870607572,26.79464181784295,4.161946369851906,3.6061301597499447,65
28.0,99.0,0.7,483.6,121.51040270607572,27.380007730170853,4.161881736711904,3.6061301597499447,66
28.0,99.0,0.7,520.8,119.59534670607572,27.965373642498754,4.161817103571905,3.6061301597499447,67
28.0,99.0,0.7,558.0,117.68029070607571,28.55073955482666,4.161752470431905,3.6061301597499447,68
28.0,99.0,0.7,595.2,115.7652347060757,29.136105467154565,4.161687837291905,3.6061301597499447,69
28.0,99.0,0.7,632.4,113.85017870607571,29.721471379482466,4.161623204151905,3.6061301597499447,70
28.0,99.0,0.7,669.6,111.93512270607572,30.306837291810368,4.161558571011905,3.6061301597499447,71
28.0,99.0,0.7,706.8,110.02006670607572,30.89220320413827,4.161493937871905,3.6061301597499447,72
28.0,99.0,0.7,744.0,108.10501070607572,31.477569116466174,4.1614293047319055,3.6061301597499447,73
28.0,99.0,0.7,781.2,106.18995470607571,32.06293502879407,4.161364671591905,3.6061301597499447,74
28.0,99.0,0.7,818.4,104.27489870607572,32.64830094112198,4.161300038451905,3.6061301597499447,75
28.0,99.0,0.7,855.6,102.35984270607572,33.23366685344988,4.1612354053119045,3.6061301597499447,76
28.0,99.0,0.7,892.8,100.44478670607573,33.819032765777784,4.161170772171905,3.6061301597499447,77
28.0,99.0,0.7,930.0,98.52973070607571,33.9889884577492,4.161106139031905,3.6061301597499447,78
