x1,x2,x3,x4,x5,x6,x7,x8
28.0,99.0,0.9,148.8,186.219696,29.463583050908795,4.224525103912662,4.815368644201815
28.0,99.0,0.9,186.0,184.30464,29.274853834620593,4.224460470772662,4.815368644201815
28.0,99.0,0.9,223.2,182.389584,29.100110633802224,4.224395837632662,4.815368644201815
28.0,99.0,0.9,260.4,180.47452800000002,28.93805876410254,4.224331204492662,4.815368644201815
28.0,99.0,0.9,297.6,178.559472,28.876262576044603,4.224266571352663,4.815368644201815
28.0,99.0,0.9,334.8,176.644416,29.418582924459823,4.224201938212663,4.815368644201815
28.0,99.0,0.9,372.0,174.72935999999999,29.96311049893494,4.224137305072663,4.815368644201815
28.0,99.0,0.9,409.2,172.814304,30.508948355747442,4.224072671932662,4.815368644201815
28.0,99.0,0.9,446.4,170.899248,31.055401170136268,4.224008038792662,4.815368644201815
28.0,99.0,0.9,483.6,168.98419199999998,31.60113232707191,4.223943405652663,4.815368644201815
28.0,99.0,0.9,520.8,167.069136,32.146143410907264,4.223878772512663,4.815368644201815
28.0,99.0,0.9,558.0,165.15408,32.689597226239734,4.223814139372663,4.815368644201815
28.0,99.0,1.0,0.0,193.87992,32.536018135613574,4.2247836364726625,4.815368644201815
28.0,99.0,1.0,37.2,191.964864,32.24123887597574,4.2247190033326625,4.815368644201815
28.0,99.0,1.0,74.4,190.049808,31.985355842505637,4.224654370192662,4.815368644201815
28.0,99.0,1.0,111.6,188.134752,31.75818570863414,4.224589737052663,4.815368644201815
28.0,99.0,1.0,148.8,186.219696,31.551917025908793,4.224525103912662,4.815368644201815
28.0,99.0,1.0,186.0,184.30464,31.36318780962059,4.224460470772662,4.815368644201815
28.0,99.0,1.0,223.2,182.389584,31.18844460880222,4.224395837632662,4.815368644201815
28.0,99.0,1.0,260.4,180.47452800000002,31.026392739102537,4.224331204492662,4.815368644201815
28.0,99.0,1.0,297.6,178.559472,30.97108709952945,4.224266571352663,4.815368644201815
28.0,99.0,1.0,334.8,176.644416,31.56320618119467,4.224201938212663,4.815368644201815
28.0,99.0,1.0,372.0,174.72935999999999,32.157532488919784,4.224137305072663,4.815368644201815
